id;name;link;active
1;Rustic Quality;synthesize Creative;false
2;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;true
3;Borders content-based;Tasty Customer Human;true
4;B2B;Saint Helena Pound programming;true
5;drive THX bypassing;Cheese Dynamic Home Loan Account;false
6;Unbranded invoice;clear-thinking;false
7;Buckinghamshire Ports;Devolved driver Networked;false
8;navigate;program alarm;false
9;Benin Berkshire;dedicated Persevering;true
10;target Human withdrawal;dot-com payment Libyan Dinar;true
