id;idname;code;rate;active
1;Small;Frozen Licensed Massachusetts;14890;2020-11-21T16:58:13
2;Lanka;Garden Pula Austria;9586;2020-11-21T14:34:06
3;Borders;artificial;60649;2020-11-21T13:58:11
4;whiteboard disintermediate;Organized SMTP;85050;2020-11-21T14:40:30
5;SQL;Customer-focused auxiliary;41033;2020-11-22T08:50:50
6;Marks CSS Electronics;York;11535;2020-11-22T08:34:50
7;Roads Designer Facilitator;human-resource;62232;2020-11-21T11:44:23
8;Bike;Personal e-services;34987;2020-11-22T01:38:43
9;Bedfordshire Corporate;teal;23281;2020-11-21T13:31:47
10;Loan;hack payment;79371;2020-11-22T06:42:37
